Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"EK Adae, DJ Connolly",A quiver full of arrows: An examination of tactics employed by CEO activists in Ghana,2024,Public Relations Review,Elsevier,https://www.sciencedirect.com/science/article/pii/S0363811124000018,,8,12/12/24 10:04,,,,,,,,,0,0,0,2,1,… adopted by CEO activists. This study seeks to augment the relatively thin literature on CEO activism in non-Western contexts by examining the tactical repertoire of CEO activists within …,,https://scholar.google.com/scholar?q=related:L_NuFCzwNt4J:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
13,"J Jin, R Mitson, YS Qin, ...","Can CEO activism be good for the organization? The importance of authenticity, morality, and timeliness",2024,Journalism &Mass …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/10776990221116377,https://scholar.google.com/scholar?cites=12526745811133396321&as_sdt=2005&sciodt=2007&hl=en,9,12/12/24 10:04,,10.1177/10776990221116377,,,,,,,13,13,3,4,1,"… If stakeholders find a CEO’s activist behavior to be motivated by unsavory or insincere (the opposite of genuine) origins, it is more difficult for stakeholders to ascertain that they are in …",,https://scholar.google.com/scholar?q=related:YfU3GPLw160J:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
0,"A Barros, B Rosenthal, C Coelho, ...","'Brazil must be a country for entrepreneurs and workers, not scoundrels': Personal branding mechanisms underpinning CEO activism",2024,Human …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/00187267241229036,,10,12/12/24 10:04,,10.1177/00187267241229036,,,,,,,0,0,0,4,1,"… , we find that CEO activists do not … CEO activism by revealing its heterogeneous nature and connecting organization studies and marketing, in addition to demonstrating how CEOs …",,https://scholar.google.com/scholar?q=related:2z_5KUqJdk0J:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
0,"Ş Ağca, A Togan-Eğrican",Managerial activism,2024,Journal of Corporate Finance,Elsevier,https://www.sciencedirect.com/science/article/pii/S0929119924000506,,11,12/12/24 10:04,,,,,,,,,0,0,0,2,1,"… we find that firms with CEOs who engage in collective activism perform better than the average … , managerial activism should bring more direct benefits for those firms with activist CEOs. …",,https://scholar.google.com/scholar?q=related:0SYP-bnfPJQJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
6,"AJ Wowak, JR Busenbark","Why Do Some Conservative CEOs Publicly Support Liberal Causes? Organizational Ideology, Managerial Discretion, and CEO Sociopolitical Activism",2024,Organization Science,pubsonline.informs.org,https://pubsonline.informs.org/doi/abs/10.1287/orsc.2022.17160,https://scholar.google.com/scholar?cites=10770919670453207252&as_sdt=2005&sciodt=2007&hl=en,12,12/12/24 10:04,,10.1287/orsc.2022.17160,,,,,,,6,6,3,2,1,"… CEOs sometimes engage in liberal activism, liberal CEOs … (all else equal) than conservative CEOs to do so. Second, we … CEO ideology on the incidence and valence of CEO activism…",,https://scholar.google.com/scholar?q=related:1IChnV_-eZUJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
4,"AE McKean, BG King",When ideologies align: Progressive corporate activism and within‐firm ideological alignment,2024,Strategic Management Journal,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/smj.3632,https://scholar.google.com/scholar?cites=13390149769517639593&as_sdt=2005&sciodt=2007&hl=en,13,12/12/24 10:04,,10.1002/smj.3632,,,,,,,4,4,2,2,1,"… on the CEO as the key actor behind a firm's activism we neglect the … activism is, in fact, not only a by-product of the CEO's … activists or top leaders push for the firm to engage in external …",https://onlinelibrary.wiley.com/doi/pdf/10.1002/smj.3632,https://scholar.google.com/scholar?q=related:qadgdUVe07kJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
2,Y Kim,A strategic approach to CEO activism: issue selection and communication of motives,2024,Journal of Marketing Communications,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/13527266.2024.2357083,https://scholar.google.com/scholar?cites=13322844607628644651&as_sdt=2005&sciodt=2007&hl=en,14,12/12/24 10:04,,10.1080/13527266.2024.2357083,,,,,,,2,2,2,1,1,"… factors for a strategic approach to CEO activism: strategic selection of activism issues and … mature the activism topic, the greater the public trust in CEO activism and evaluation of CEO …",,https://scholar.google.com/scholar?q=related:KxFvS5VA5LgJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
0,P Bernardino,CEO activism: Connecting with stakeholders,2024,… on Corporate Governance and Corporate Social …,elgaronline.com,https://www.elgaronline.com/edcollchap/book/9781802208771/book-part-9781802208771-13.xml,,15,12/12/24 10:04,,,,,,,,,0,0,0,1,1,… that the influence of CEO activism depends on the audience: ‘CEO activists may have considerably more influence on some audiences than others and that CEO activism is a double-…,,https://scholar.google.com/scholar?q=related:Ik9c2pu0TQsJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
0,"FG Cabano, M Li, FR Jiménez",Consumer responses to CEO activism: an impression management approach,2024,European Journal of Marketing,emerald.com,https://www.emerald.com/insight/content/doi/10.1108/EJM-07-2022-0553,,16,12/12/24 10:04,,10.1108/EJM-07-2022-0553,,,,,,,0,0,0,3,1,"… CEO activist tweets … CEO activist tweets receive more consumer responsiveness in the form of greater likes and retweets by others, CEOs would be wise to post noncontroversial activist …",,https://scholar.google.com/scholar?q=related:-VCGvAeaZlUJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
7,"Z Wu, S Liu",Corporate responses to social activism: A review and research agenda,2024,Journal of Management,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/01492063231208971,https://scholar.google.com/scholar?cites=12696632243296940930&as_sdt=2005&sciodt=2007&hl=en,17,12/12/24 10:04,,10.1177/01492063231208971,,,,,,,7,7,4,2,1,"… For instance, we do not know whether and how firms notice would-be activism risk if social activists have yet to initiate any campaign. Additionally, the possibility of peer-focused …",https://journals.sagepub.com/doi/pdf/10.1177/01492063231208971,https://scholar.google.com/scholar?q=related:gjN8ccF_M7AJ:scholar.google.com/&scioq=ceo+activist+or+ceo+activism&hl=en&as_sdt=2007&as_ylo=2024
